"Original System";"Title";"Year";"Publisher";"Developer";"Europe";"US";"Japan"
NA;"Airboarder 64";"???";"GM";"Unknown";"";"x";"x"
NA;"Airborne Troops: Countdown to D-Day";"???";"Playlogic";"Unknown";"";"";"x"
NA;"Airlock";"???";"Gameworld";"Unknown";"";"";"x"
NA;"Akira Psycho Ball";"???";"Bandai";"Unknown";"";"x";"x"
NA;"Alan Hansens Sports Challenge";"???";"Oxygen";"Unknown";"";"x";"x"
NA;"Alarm for Cobra 11: Vol. 2: Hot Pursuit";"???";"RTL Playtainment";"Unknown";"";"x";"x"
NA;"Alarm für Cobra 11";"???";"RTL Playtainment";"Unknown";"";"x";"x"
NA;"L'Albero Azzurro";"???";"Philips Interactive Media";"Unknown";"";"x";"x"
NA;"Albert Odyssey: Legend of Eldean";"???";"Working Designs";"Unknown";"x";"";"x"
NA;"Alcazar: The Forgotten Fortress";"???";"Telegames";"Telegames";"";"";"x"
NA;"Alex Rider: Stormbreaker";"???";"THQ";"Unknown";"";"";"x"
NA;"Alfred Chicken";"???";"Mindscape";"Twilight";"";"";"x"
NA;"Alfred's Adventure";"???";"SCi";"Möbius";"";"x";"x"
NA;"Alias";"???";"Acclaim";"Unknown";"";"";"x"
NA;"Alice in Wonderland (Disney's)";"???";"Nintendo, Disney Interactive";"Digital Eclipse Software";"";"";"x"
NA;"Alien";"???";"20th Century Fox";"Unknown";"x";"";"x"
NA;"Alien";"???";"Watara";"Unknown";"";"";"x"
NA;"Alien Brigade";"???";"Atari";"Atari";"";"";"x"
NA;"Alien Crush";"???";"NEC";"Unknown";"x";"";"x"
NA;"Alien Front Online";"???";"Sega";"Unknown";"x";"";"x"
NA;"Alien Hominid";"???";"Zoo Digital";"Unknown";"";"";"x"
NA;"Alien Olympics";"???";"Ocean";"Dark Technologies";"";"x";"x"
NA;"Alien³";"???";"Ljn";"B.I.T.S.";"";"";"x"
NA;"Alienators: Evolution Continues";"???";"Activision";"Unknown";"";"";"x"
NA;"Aliens in the Attic";"???";"Playlogic";"Unknown";"";"";"x"
NA;"Aliens versus Predator: Extinction";"???";"Electronic Arts";"Unknown";"";"";"x"
NA;"Aliens vs Predator: Requiem";"???";"Sierra";"Unknown";"";"";"x"
NA;"Aliens: Thanatos Encounter";"???";"THQ";"Crawfish Interactive";"";"";"x"
NA;"All Grown Up! Express Yourself";"???";"THQ";"Unknown";"";"";"x"
NA;"All the Fun of the Fair: Engels voor Kinderen";"???";"Philips Interactive Media";"Unknown";"";"x";"x"
